"study","group","trial","condition","Respembed","Respdelay","Respradius","HRembed","HRdelay","HRradius","HR_RR","HR_DET","HR_NRLINE","HR_maxL","HR_L","HR_ENTR","HR_LAM","HR_TT","Resp_RR","Resp_DET","Resp_NRLINE","Resp_maxL","Resp_L","Resp_ENTR","Resp_LAM","Resp_TT","pair"
"1","1","3","SelfPaced",3,47,0.690880741692224,20,12,2.73176422747921,1.42824018895129,93.5452386374727,4638,106,6.19943941354032,2.40566804212165,96.5741614341022,8.430559500142,13.540988903819,93.7320991353596,63545,61,5.4642222047368,2.29655477050917,96.9900902433033,7.99085915085737,"Real"
"1","2","3","SelfPaced",NA,NA,NA,NA,NA,NA,0.97448301527002,93.2900378626414,5904,245,6.30165989159892,2.32295092289968,96.0056167097114,7.54889589905363,12.449478921398,93.8461791479249,117881,54,4.8407037605721,2.13377119309748,97.540642551127,6.39651211699615,"Real"
"1","3","1","SelfPaced",NA,NA,NA,NA,NA,NA,1.5228871724043,93.9588269820221,7574,233,5.70662793768154,2.27875271367371,97.3109280233038,9.33555787278415,15.8268308315062,96.2737197838642,91344,65,6.18134743387633,2.49135260379561,97.999601011453,9.21976611751873,"Real"
"1","3","2","TurnTaking",2,9,0.758597911819789,NA,NA,NA,1.87062564539658,91.7319277108434,12802,81,5.23363536947352,2.21220342915088,96.210295728368,8.13427480032411,11.4703448853699,94.7719920692894,116132,52,4.3794303034478,2.03580521316689,97.9714822378915,5.59809621158883,"Real"
"1","4","1","Synchronous",NA,NA,NA,NA,NA,NA,0.193442992474454,66.2450756790379,1038,11,3.07803468208092,1.4175774542869,93.3858594235953,5.78177150192555,12.1315357790093,96.7318879459129,65775,61,5.5642417331813,2.37913376423233,98.1530475508322,6.80853989439718,"Real"
"1","4","2","SelfPaced",2,35,0.728079430538684,10,47,2.16061800024925,1.25192340328349,86.9280387018746,4308,11,4.0041782729805,1.86018050402908,95.7518645434388,7.90391014975042,12.5070543245161,97.5163663617731,44496,75,5.73123426824883,2.41430131551068,99.0401970081679,7.22661830357143,"Real"
"1","4","3","TurnTaking",2,24,0.725342163580532,NA,NA,NA,0.287128145970641,79.9814499922708,1568,16,3.29974489795918,1.55678505524967,92.0853300355542,5.05258693808312,12.3494741245704,97.6153734664473,65604,48,5.23577830620084,2.30699774926575,99.0073292239662,6.60572620401972,"Real"
"2","10","1","Conversation",NA,NA,NA,NA,NA,NA,1.7276461861338,94.8430275006084,11442,184,6.81192099283342,2.42809390434882,97.1197371623266,9.72025331871879,11.7618714047663,96.3199997574059,137347,77,4.62527030077104,2.13213824445943,98.4945522471791,6.23425143953935,"Real"
"2","10","2","TurnTaking",2,0,0.371680177381587,19,9,2.70322271152046,0.348850825172843,90.3459081595757,3146,54,4.76541640178004,2.10997671909813,93.7266481860914,5.72643593519882,12.666600563824,97.595139876385,126061,74,5.4988378642086,2.37980774177834,98.3617497571346,6.87063844852681,"Real"
"2","10","3","Synchronous",15,9,2.57062091821039,NA,NA,NA,0.943583249189943,93.4453257285447,6960,94,6.02614942528736,2.29759433946796,96.5756171464219,7.49040953862105,14.269653944485,97.0097230553889,134660,52,5.76439180157434,2.43470274494728,98.126124775045,6.88754188669977,"Real"
